temporal,use,date,ID,COUNT,AREA,MEAN
day,prediction,3/12/2022,361,1,4900,37.17907
day,prediction,3/12/2022,1,292,262800,39.07741871
day,prediction,3/12/2022,2,871,783900,38.71925226
day,prediction,3/12/2022,3,1453,1307700,38.77987792
day,prediction,3/12/2022,4,2040,1836000,38.70962078
day,prediction,3/12/2022,5,2619,2357100,38.62235978
day,prediction,3/12/2022,6,3196,2876400,37.8068798
day,prediction,3/12/2022,7,3785,3406500,38.62655078
day,prediction,3/12/2022,8,4371,3933900,39.40235284
day,prediction,3/12/2022,9,4940,4446000,35.79078569
day,prediction,3/12/2022,10,5527,4974300,36.86081185
day,prediction,3/12/2022,11,6087,5478300,37.65653482
day,prediction,3/12/2022,12,6684,6015600,32.0242504
day,prediction,3/12/2022,13,7260,6534000,27.19950928
day,prediction,3/12/2022,14,7859,7073100,26.53714675
day,prediction,3/12/2022,15,8443,7598700,25.07572821
day,prediction,3/12/2022,16,9007,8106300,24.83486627
day,prediction,3/12/2022,17,9625,8662500,36.4408939
day,prediction,3/12/2022,18,10182,9163800,24.60467771
day,prediction,3/12/2022,19,10767,9690300,24.92047399
day,prediction,3/12/2022,20,11326,10193400,25.71808449
day,prediction,3/12/2022,21,8098,7288200,28.75271853
day,prediction,3/12/2022,22,4295,3865500,35.51719514
day,prediction,3/12/2022,23,1915,1723500,37.25374329
day,prediction,3/12/2022,24,207,186300,37.34248085
day,prediction,3/12/2022,31,290,261000,38.2606847
day,prediction,3/12/2022,32,289,260100,38.42419356
day,prediction,3/12/2022,33,290,261000,37.91290108
day,prediction,3/12/2022,34,290,261000,38.28705455
day,prediction,3/12/2022,35,291,261900,38.01461716
day,prediction,3/12/2022,36,287,258300,38.80541068
day,prediction,3/12/2022,37,291,261900,38.39194645
day,prediction,3/12/2022,38,294,264600,38.47252718
day,prediction,3/12/2022,39,290,261000,38.1622027
day,prediction,3/12/2022,40,292,262800,38.49422375
day,prediction,3/12/2022,41,288,259200,38.45825869
day,prediction,3/12/2022,42,872,784800,38.54988846
day,prediction,3/12/2022,43,876,788400,38.73073306
day,prediction,3/12/2022,44,875,787500,38.66753059
day,prediction,3/12/2022,45,873,785700,38.63048274
day,prediction,3/12/2022,46,872,784800,38.08553194
day,prediction,3/12/2022,47,874,786600,38.27946584
day,prediction,3/12/2022,48,875,787500,38.96897793
day,prediction,3/12/2022,49,874,786600,38.52666855
day,prediction,3/12/2022,50,873,785700,38.96958375
day,prediction,3/12/2022,51,871,783900,38.17310149
day,prediction,3/12/2022,52,872,784800,38.99367854
day,prediction,3/12/2022,53,1454,1308600,36.36149126
day,prediction,3/12/2022,54,1452,1306800,37.69340393
day,prediction,3/12/2022,55,1454,1308600,38.81437048
day,prediction,3/12/2022,56,1453,1307700,37.93867023
day,prediction,3/12/2022,57,1454,1308600,37.91541086
day,prediction,3/12/2022,58,1455,1309500,38.10103484
day,prediction,3/12/2022,59,1452,1306800,37.48006059
day,prediction,3/12/2022,60,1458,1312200,38.0726723
day,prediction,3/12/2022,61,1453,1307700,38.60991042
day,prediction,3/12/2022,62,1447,1302300,38.28922176
day,prediction,3/12/2022,63,1457,1311300,38.34279896
day,prediction,3/12/2022,64,2039,1835100,37.98328901
day,prediction,3/12/2022,65,2034,1830600,38.02277469
day,prediction,3/12/2022,66,2035,1831500,38.45543627
day,prediction,3/12/2022,67,2043,1838700,38.88227176
day,prediction,3/12/2022,68,2035,1831500,38.74385824
day,prediction,3/12/2022,69,2039,1835100,38.2383662
day,prediction,3/12/2022,70,2033,1829700,37.78207923
day,prediction,3/12/2022,71,2034,1830600,37.80077278
day,prediction,3/12/2022,72,2031,1827900,38.54777705
day,prediction,3/12/2022,73,2042,1837800,38.55084564
day,prediction,3/12/2022,74,2035,1831500,38.11211503
day,prediction,3/12/2022,75,2616,2354400,37.68943577
day,prediction,3/12/2022,76,2622,2359800,37.51458242
day,prediction,3/12/2022,77,2613,2351700,38.72787006
day,prediction,3/12/2022,78,2614,2352600,38.72663083
day,prediction,3/12/2022,79,2617,2355300,38.22643171
day,prediction,3/12/2022,80,2617,2355300,38.67972731
day,prediction,3/12/2022,81,2616,2354400,37.94671647
day,prediction,3/12/2022,82,2613,2351700,38.00317899
day,prediction,3/12/2022,83,2618,2356200,37.46293714
day,prediction,3/12/2022,84,2621,2358900,38.50914554
day,prediction,3/12/2022,85,2620,2358000,38.16770219
day,prediction,3/12/2022,86,3200,2880000,37.52987377
day,prediction,3/12/2022,87,3209,2888100,39.34712063
day,prediction,3/12/2022,88,3194,2874600,38.47824488
day,prediction,3/12/2022,89,3198,2878200,37.92501665
day,prediction,3/12/2022,90,3197,2877300,38.38764561
day,prediction,3/12/2022,91,3205,2884500,37.79862923
day,prediction,3/12/2022,92,3203,2882700,36.91062757
day,prediction,3/12/2022,93,3204,2883600,37.56839027
day,prediction,3/12/2022,94,3196,2876400,37.19714248
day,prediction,3/12/2022,95,3199,2879100,36.51385792
day,prediction,3/12/2022,96,3192,2872800,35.78112602
day,prediction,3/12/2022,97,3780,3402000,38.60206212
day,prediction,3/12/2022,98,3776,3398400,38.4499126
day,prediction,3/12/2022,99,3784,3405600,37.30756624
day,prediction,3/12/2022,100,3780,3402000,37.77471089
day,prediction,3/12/2022,101,3790,3411000,38.94697907
day,prediction,3/12/2022,102,3782,3403800,37.37943804
day,prediction,3/12/2022,103,3778,3400200,36.83527429
day,prediction,3/12/2022,104,3781,3402900,37.36091866
day,prediction,3/12/2022,105,3781,3402900,35.96041994
day,prediction,3/12/2022,106,3787,3408300,38.2471045
day,prediction,3/12/2022,107,3787,3408300,35.64459155
day,prediction,3/12/2022,108,4358,3922200,38.70534644
day,prediction,3/12/2022,109,4365,3928500,37.82693615
day,prediction,3/12/2022,110,4355,3919500,37.7519804
day,prediction,3/12/2022,111,4362,3925800,37.07973253
day,prediction,3/12/2022,112,4369,3932100,38.33140728
day,prediction,3/12/2022,113,4352,3916800,38.41508377
day,prediction,3/12/2022,114,4360,3924000,36.41009773
day,prediction,3/12/2022,115,4363,3926700,36.78578576
day,prediction,3/12/2022,116,4371,3933900,35.58696473
day,prediction,3/12/2022,117,4363,3926700,37.54590397
day,prediction,3/12/2022,118,4358,3922200,38.33726719
day,prediction,3/12/2022,119,4939,4445100,38.85349544
day,prediction,3/12/2022,120,4950,4455000,38.25499355
day,prediction,3/12/2022,121,4942,4447800,37.52984434
day,prediction,3/12/2022,122,4946,4451400,36.77592604
day,prediction,3/12/2022,123,4945,4450500,38.63857105
day,prediction,3/12/2022,124,4944,4449600,38.10540377
day,prediction,3/12/2022,125,4959,4463100,36.0637026
day,prediction,3/12/2022,126,4939,4445100,35.41953551
day,prediction,3/12/2022,127,4942,4447800,35.06982735
day,prediction,3/12/2022,128,4944,4449600,38.27840169
day,prediction,3/12/2022,129,4941,4446900,37.40992604
day,prediction,3/12/2022,130,5529,4976100,38.03058135
day,prediction,3/12/2022,131,5534,4980600,37.64851436
day,prediction,3/12/2022,132,5524,4971600,37.30020253
day,prediction,3/12/2022,133,5524,4971600,38.58099607
day,prediction,3/12/2022,134,5520,4968000,36.00167302
day,prediction,3/12/2022,135,5535,4981500,37.11088944
day,prediction,3/12/2022,136,5514,4962600,36.88952593
day,prediction,3/12/2022,137,5537,4983300,34.95209528
day,prediction,3/12/2022,138,5529,4976100,34.69806683
day,prediction,3/12/2022,139,5528,4975200,37.76566883
day,prediction,3/12/2022,140,5532,4978800,37.86665223
day,prediction,3/12/2022,141,6073,5465700,37.52701438
day,prediction,3/12/2022,142,6077,5469300,37.29373357
day,prediction,3/12/2022,143,6078,5470200,36.96629152
day,prediction,3/12/2022,144,6080,5472000,37.47371697
day,prediction,3/12/2022,145,6073,5465700,34.18024125
day,prediction,3/12/2022,146,6079,5471100,36.15930219
day,prediction,3/12/2022,147,6087,5478300,37.18773101
day,prediction,3/12/2022,148,6067,5460300,37.70015156
day,prediction,3/12/2022,149,6076,5468400,34.33734679
day,prediction,3/12/2022,150,6080,5472000,37.96012401
day,prediction,3/12/2022,151,6080,5472000,38.10503903
day,prediction,3/12/2022,152,6682,6013800,37.24917042
day,prediction,3/12/2022,153,6682,6013800,36.7691245
day,prediction,3/12/2022,154,6673,6005700,36.568012
day,prediction,3/12/2022,155,6685,6016500,36.55982806
day,prediction,3/12/2022,156,6680,6012000,35.57684435
day,prediction,3/12/2022,157,6685,6016500,36.22552894
day,prediction,3/12/2022,158,6678,6010200,36.32774541
day,prediction,3/12/2022,159,6684,6015600,34.02867141
day,prediction,3/12/2022,160,6685,6016500,34.26470246
day,prediction,3/12/2022,161,6688,6019200,37.58235045
day,prediction,3/12/2022,162,6683,6014700,38.27185865
day,prediction,3/12/2022,163,7280,6552000,37.34022141
day,prediction,3/12/2022,164,7274,6546600,36.68435466
day,prediction,3/12/2022,165,7264,6537600,36.25215499
day,prediction,3/12/2022,166,7262,6535800,37.47217907
day,prediction,3/12/2022,167,7268,6541200,35.53399746
day,prediction,3/12/2022,168,7252,6526800,36.41666334
day,prediction,3/12/2022,169,7276,6548400,34.8208842
day,prediction,3/12/2022,170,7265,6538500,32.57417638
day,prediction,3/12/2022,171,7268,6541200,33.71531488
day,prediction,3/12/2022,172,7265,6538500,36.99588078
day,prediction,3/12/2022,173,7263,6536700,38.29536549
day,prediction,3/12/2022,174,7844,7059600,37.75134737
day,prediction,3/12/2022,175,7856,7070400,36.23000747
day,prediction,3/12/2022,176,7850,7065000,37.4018531
day,prediction,3/12/2022,177,7862,7075800,38.14816095
day,prediction,3/12/2022,178,7852,7066800,36.24588623
day,prediction,3/12/2022,179,7858,7072200,35.26492315
day,prediction,3/12/2022,180,7848,7063200,34.90474004
day,prediction,3/12/2022,181,7861,7074900,33.21286387
day,prediction,3/12/2022,182,7879,7091100,34.35245947
day,prediction,3/12/2022,183,7852,7066800,33.37126589
day,prediction,3/12/2022,184,7860,7074000,37.58720767
day,prediction,3/12/2022,185,8429,7586100,37.31081123
day,prediction,3/12/2022,186,8433,7589700,36.15752557
day,prediction,3/12/2022,187,8432,7588800,37.4211479
day,prediction,3/12/2022,188,8428,7585200,36.33654854
day,prediction,3/12/2022,189,8430,7587000,35.05405218
day,prediction,3/12/2022,190,8427,7584300,34.55886996
day,prediction,3/12/2022,191,8406,7565400,26.45399419
day,prediction,3/12/2022,192,8424,7581600,33.36673967
day,prediction,3/12/2022,193,8436,7592400,33.59521302
day,prediction,3/12/2022,194,8426,7583400,37.81711069
day,prediction,3/12/2022,195,8431,7587900,35.70643449
day,prediction,3/12/2022,196,9007,8106300,35.1767227
day,prediction,3/12/2022,197,9011,8109900,36.45089132
day,prediction,3/12/2022,198,9014,8112600,35.67363114
day,prediction,3/12/2022,199,8999,8099100,37.47225181
day,prediction,3/12/2022,200,9007,8106300,35.95031328
day,prediction,3/12/2022,201,9027,8124300,34.0372709
day,prediction,3/12/2022,202,9016,8114400,24.54240346
day,prediction,3/12/2022,203,9012,8110800,33.71568156
day,prediction,3/12/2022,204,9012,8110800,33.6512085
day,prediction,3/12/2022,205,9002,8101800,36.85533154
day,prediction,3/12/2022,206,9003,8102700,35.28989368
day,prediction,3/12/2022,207,9595,8635500,36.52179265
day,prediction,3/12/2022,208,9603,8642700,35.92232144
day,prediction,3/12/2022,209,9620,8658000,21.89998369
day,prediction,3/12/2022,210,9613,8651700,34.72044471
day,prediction,3/12/2022,211,9601,8640900,33.82820994
day,prediction,3/12/2022,212,9601,8640900,34.91415163
day,prediction,3/12/2022,213,9596,8636400,34.50597001
day,prediction,3/12/2022,214,9613,8651700,37.71530687
day,prediction,3/12/2022,215,9604,8643600,33.10317005
day,prediction,3/12/2022,216,9601,8640900,36.45564605
day,prediction,3/12/2022,217,9605,8644500,25.06830493
day,prediction,3/12/2022,218,10168,9151200,35.27778784
day,prediction,3/12/2022,219,10170,9153000,36.56359984
day,prediction,3/12/2022,220,10169,9152100,35.27818372
day,prediction,3/12/2022,221,10174,9156600,35.34518694
day,prediction,3/12/2022,222,10178,9160200,37.7562878
day,prediction,3/12/2022,223,10162,9145800,34.54300352
day,prediction,3/12/2022,224,10158,9142200,21.36942704
day,prediction,3/12/2022,225,10182,9163800,32.34924165
day,prediction,3/12/2022,226,10182,9163800,34.17483138
day,prediction,3/12/2022,227,10177,9159300,35.02246565
day,prediction,3/12/2022,228,10165,9148500,35.3664059
day,prediction,3/12/2022,229,10768,9691200,36.57014008
day,prediction,3/12/2022,230,10754,9678600,37.51344175
day,prediction,3/12/2022,231,10771,9693900,34.02849548
day,prediction,3/12/2022,232,10755,9679500,34.01060026
day,prediction,3/12/2022,233,10754,9678600,37.53331684
day,prediction,3/12/2022,234,10782,9703800,34.23158798
day,prediction,3/12/2022,235,10760,9684000,21.20550119
day,prediction,3/12/2022,236,10753,9677700,32.50610999
day,prediction,3/12/2022,237,10758,9682200,33.88449625
day,prediction,3/12/2022,238,10753,9677700,36.04702731
day,prediction,3/12/2022,239,10768,9691200,35.09010301
day,prediction,3/12/2022,240,11331,10197900,36.63685323
day,prediction,3/12/2022,241,11359,10223100,37.74314813
day,prediction,3/12/2022,242,11323,10190700,34.39312118
day,prediction,3/12/2022,243,11337,10203300,33.65052458
day,prediction,3/12/2022,244,11338,10204200,37.5995114
day,prediction,3/12/2022,245,11136,10022400,32.75193813
day,prediction,3/12/2022,246,11349,10214100,21.2641022
day,prediction,3/12/2022,247,11245,10120500,32.66930247
day,prediction,3/12/2022,248,11334,10200600,34.04505528
day,prediction,3/12/2022,249,11341,10206900,35.44781491
day,prediction,3/12/2022,250,11340,10206000,34.26606059
day,prediction,3/12/2022,251,11922,10729800,37.26468052
day,prediction,3/12/2022,252,11928,10735200,37.44118931
day,prediction,3/12/2022,253,11932,10738800,34.39475748
day,prediction,3/12/2022,254,11926,10733400,32.82796076
day,prediction,3/12/2022,255,6124,5511600,31.74156943
day,prediction,3/12/2022,256,11918,10726200,36.73007497
day,prediction,3/12/2022,257,7113,6401700,32.20689574
day,prediction,3/12/2022,258,7155,6439500,22.02654815
day,prediction,3/12/2022,259,11927,10734300,34.64258575
day,prediction,3/12/2022,260,11937,10743300,33.87962059
day,prediction,3/12/2022,261,11941,10746900,35.00268336
day,prediction,3/12/2022,262,12528,11275200,36.72655605
day,prediction,3/12/2022,263,12500,11250000,33.7555908
day,prediction,3/12/2022,264,12502,11251800,37.62675166
day,prediction,3/12/2022,265,12500,11250000,37.42105984
day,prediction,3/12/2022,266,12505,11254500,32.89671618
day,prediction,3/12/2022,267,2754,2478600,31.2305087
